Birds_spp,Sample,Year,longitude,latitude
Blackbird,22_3_A,2022.0,-2.4366077943116995,52.7722064110007
Blackbird,22_3_B,2022.0,-2.4361064141737394,52.77026914735531
Blackbird,22_3_C,2022.0,-2.4361815234690285,52.768943650692
Blackbird,22_3_B,2022.0,-2.435932513111954,52.76894456644343
Blackbird,22_3_B,2022.0,-2.433273579891221,52.76974847001394
Blackbird,22_3_A,2022.0,-2.4338980013664178,52.769531812820276
Skylark,22_3_A,2022.0,-2.4376221762175794,52.772421917552705
Skylark,22_3_C,2022.0,-2.437909562570199,52.772240587689204
Skylark,22_3_A,2022.0,-2.438039757394185,52.77240575928474
Skylark,22_3_C,2022.0,-2.437658691136838,52.77125734318422
Skylark,22_3_B,2022.0,-2.4380603908613865,52.77126073197123
Skylark,22_3_C,2022.0,-2.4346634165481227,52.77056677379896
Skylark,22_3_B,2022.0,-2.438214894523984,52.76904821237838
Blue tit,22_3_B,2022.0,-2.4381547921745694,52.77266112118916
Blue tit,22_3_B,2022.0,-2.4371097828288653,52.77259676817143
Blue tit,22_3_A,2022.0,-2.436326656952566,52.77220988190595
Blue tit,22_3_B,2022.0,-2.43634418560669,52.77235598135287
Blue tit,22_3_C,2022.0,-2.436012485723424,52.77212333918169
Blue tit,22_3_A,2022.0,-2.4356719321061377,52.77100400055082
Blue tit,22_3_B,2022.0,-2.436454336793597,52.77051878206903
Blue tit,22_3_C,2022.0,-2.4364052133294916,52.7704263923459
Blue tit,22_3_B,2022.0,-2.4359818066327743,52.76985791031683
Blue tit,22_3_A,2022.0,-2.4351633040654117,52.769139841253995
Blue tit,22_3_B,2022.0,-2.4332233752694625,52.76954645992471
Chiffchaff,22_3_A,2022.0,-2.4357145257764423,52.772855254129965
Chiffchaff,22_3_B,2022.0,-2.435901626009844,52.770676723483994
Chiffchaff,22_3_B,2022.0,-2.433774482665185,52.76922775640549
Goldcrest,22_3_A,2022.0,-2.4358044530885223,52.76979522455878
Grey wagtail,22_3_A,2022.0,-2.4350677241057648,52.7700269203155
Lapwing,22_3_A,2022.0,-2.4375215039779743,52.77328510828695
Lapwing,22_3_A,2022.0,-2.4372750321442496,52.773355203070956
Lapwing,22_3_B,2022.0,-2.4376275969255143,52.772489082079105
Lapwing,22_3_A,2022.0,-2.4380068023648187,52.77238390350075
Robin,22_3_B,2022.0,-2.4372538229107423,52.77313619348089
Robin,22_3_B,2022.0,-2.435668745211744,52.77243864070123
Dunnock,22_3_B,2022.0,-2.434774704170907,52.77239579843681
Goldfinch,22_3_B,2022.0,-2.4363424838728847,52.77326639084551
Goldfinch,22_3_B,2022.0,-2.4331825944875107,52.76906918374173
Grey partridge,22_3_B,2022.0,-2.4374277588674875,52.77152122054069
Grey partridge,22_3_B,2022.0,-2.4331286531816234,52.769380716256535
Curlew,22_3_C,2022.0,-2.4378018638227585,52.770908699992326
Great tit,22_3_B,2022.0,-2.4359422862039883,52.76937040507065
Blackcap,22_3_B,2022.0,-2.434326118901241,52.76935327414613
Tree creeper,22_3_C,2022.0,-2.435140832201532,52.769073544434235
Coal tit,22_3_B,2022.0,-2.4333034179447166,52.76974906789359
Chiffchaff,22_3_A,2022.0,-2.4423878125936995,52.776004835352424
Chiffchaff,22_3_B,2022.0,-2.4405264965969207,52.7757238561997
Chiffchaff,22_3_B,2022.0,-2.4391641846991754,52.77502759374725
Chiffchaff,22_3_A,2022.0,-2.4383637294271345,52.7753233855851
Chiffchaff,22_3_C,2022.0,-2.4357043098905145,52.773945320382474
Blackbird,22_3_A,2022.0,-2.4416293295411378,52.77603719165284
Blackbird,22_3_B,2022.0,-2.43814870151921,52.77532664105648
Skylark,22_3_A,2022.0,-2.4415270658518335,52.77595636750342
Skylark,22_3_A,2022.0,-2.4416559299657523,52.775057711432545
Skylark,22_3_B,2022.0,-2.438225434619063,52.77367518969936
Blue tit,22_3_A,2022.0,-2.4407730385685755,52.776028073841935
Blue tit,22_3_C,2022.0,-2.4398643074279653,52.77484290275453
Blue tit,22_3_B,2022.0,-2.4389150672287445,52.77527213100188
Blue tit,22_3_C,2022.0,-2.435527820822329,52.77415021155403
Wren,22_3_B,2022.0,-2.4390515480234445,52.773915748739824
Wren,22_3_C,2022.0,-2.438860822381804,52.77391399401466
Wren,22_3_C,2022.0,-2.435722556718961,52.77374101051667
Long-tailed tit,22_3_B,2022.0,-2.4399240536909463,52.77473194705739
